No,Source ID(s),Concept,Code,Misconception,Example,Curation note,wrong_example,correct_example
11,Expert curation for AP1 pseudocode tasks,"IO, SQ",IO-05,"Student believes a computed result becomes the final answer automatically without an explicit output, display, or recording step.","After calculating volume, student stops the algorithm without writing or displaying the volume.",Added for Week-1 algorithm tasks where output step is often omitted.,"input(panjang)
input(lebar)
volume <- panjang * lebar
{ hasil dihitung tapi tak pernah di-output }","input(panjang)
input(lebar)
volume <- panjang * lebar
output(volume)"
12,McMining 35,VA,VA-01,Student believes that values must be explicitly converted to their current type to ensure type safety.,result = int(a) + int(b) even when a and b are already integers.,Kept.,"program JumlahRentang
kamus
  n, awal, akhir, i, x, total : integer
algoritma
  input(n, awal, akhir)
  total <- integer(0)
  for i <- 1 to integer(n) do
    input(x)
    if integer(i) >= integer(awal) and integer(i) <= integer(akhir) then
      total <- integer(total) + integer(x)
    endif
  endfor
  output(integer(total))
endprogram","program JumlahRentang
kamus
  n, awal, akhir, i, x, total : integer
algoritma
  input(n, awal, akhir)
  total <- 0
  for i <- 1 to n do
    input(x)
    if i >= awal and i <= akhir then
      total <- total + x
    endif
  endfor
  output(total)
endprogram"
13,McMining 54; Qian 5,"VA, EX, OP",VA-02,"Student believes that an assigned expression or formula is stored dynamically, so the assigned variable automatically updates when variables in the expression change.",x = 10; y = x * 2; x = 5; student expects y to become 10.,Kept.,"program JumlahMinMaks
kamus
  n, i, x, minimum, maksimum, hasil : integer
algoritma
  input(n)
  minimum <- 0
  maksimum <- 0
  hasil <- minimum + maksimum
  for i <- 1 to n do
    input(x)
    if i == 1 then
      minimum <- x
      maksimum <- x
    else
      if x < minimum then
        minimum <- x
      endif
      if x > maksimum then
        maksimum <- x
      endif
    endif
  endfor
  output(hasil)
endprogram","program JumlahMinMaks
kamus
  n, i, x, minimum, maksimum : integer
algoritma
  input(n)
  for i <- 1 to n do
    input(x)
    if i == 1 then
      minimum <- x
      maksimum <- x
    else
      if x < minimum then
        minimum <- x
      endif
      if x > maksimum then
        maksimum <- x
      endif
    endif
  endfor
  output(minimum + maksimum)
endprogram"
14,McMining 56,VA,VA-03,Student believes that variable identifiers can only be one letter long.,"Student uses l, w, a instead of length, width, area.",Kept.,"program HitungUmurAnjing
kamus
  u : integer
  a : real
algoritma
  input(u)
  if u <= 2 then
    a <- u * 10.5
  else
    a <- 21 + (u - 2) * 4
  endif
  output(a)
endprogram","program HitungUmurAnjing
kamus
  umur : integer
  umurAnjing : real
algoritma
  input(umur)
  if umur <= 2 then
    umurAnjing <- umur * 10.5
  else
    umurAnjing <- 21 + (umur - 2) * 4
  endif
  output(umurAnjing)
endprogram"
15,McMining 59,VA,VA-04,"Student believes that variable names containing vowels can only store string values, while consonant-only names can store any type.","Student stores age = ""25"" because age contains a vowel, then gets an error when adding age + 5.",Kept.,"program HitungPasanganTidakSama
kamus
  a, b, c : integer
  total : string
algoritma
  input(a, b, c)
  total <- ""0""
  if a != b then
    total <- string(integer(total) + 1)
  endif
  if a != c then
    total <- string(integer(total) + 1)
  endif
  if b != c then
    total <- string(integer(total) + 1)
  endif
  output(integer(total))
endprogram","program HitungPasanganTidakSama
kamus
  a, b, c, jumlah : integer
algoritma
  input(a, b, c)
  jumlah <- 0
  if a != b then
    jumlah <- jumlah + 1
  endif
  if a != c then
    jumlah <- jumlah + 1
  endif
  if b != c then
    jumlah <- jumlah + 1
  endif
  output(jumlah)
endprogram"
16,Qian 1; Haberman HistPres1; Haberman HistPres2,"VA, IO",VA-05,"Student believes a variable stores multiple current or previous values at the same time, rather than holding only one current value.","After x receives 3 then 7, student expects x to contain both 3 and 7, or to be able to output the old value 3 without storing it elsewhere.","Merged old VA-05, IO-01, and IO-02.","x <- 3
x <- 7
output(x)
{ siswa kira x menyimpan 3 dan 7 sekaligus, bisa keluarkan 3 yang lama }","x <- 3
output(x)
x <- 7
output(x)
{ x hanya menyimpan satu nilai; simpan nilai lama dulu bila perlu }"
17,Qian 2,"VA, OP",VA-06,"Assignment statements are commutative, i.e., A = B is equivalent to B = A.",Student thinks A = B and B = A have the same effect.,Kept.,"input(a)
b <- 0
a <- b
output(a)
output(b)
{ siswa ingin menyalin nilai a ke b, tapi menulis ""a <- b"" karena mengira arah assignment bisa dibolak-balik; akibatnya a malah tertimpa 0 (nilai lama b), bukan b yang menerima nilai a }","input(a)
b <- 0
b <- a
output(a)
output(b)
{ arah assignment penting: untuk menyalin nilai a ke b, tulis ""b <- a"" -- bukan sebaliknya }"
18,Qian 3,"VA, OP",VA-07,"The assignment statement A = B + 1 changes the value of B by 1, as well as changing A.",Student thinks A = B + 1 also increments B.,Kept.,"input(b)
a <- b + 1
output(b)
{ siswa kira b ikut bertambah 1 menjadi sama dengan a, padahal hanya a yang dihitung dari b + 1 }","input(b)
a <- b + 1
output(b)
{ hanya a yang berubah; b tetap sama seperti nilai inputnya }"
19,Qian 4,VA,VA-08,"Assigning the value of one variable to another variable links the two variables, so changing one also changes the other.","After A = B, student thinks changing B later also changes A.",Kept.,"b <- 5
a <- b
b <- 99
output(a)
{ siswa kira a ikut menjadi 99 karena tadi disalin dari b }","b <- 5
a <- b
b <- 99
output(a)
{ a menyimpan salinan nilai b SAAT assignment terjadi (yaitu 5); mengubah b setelahnya tidak mengubah a }"
20,Qian 6,VA,VA-09,The left-hand side of an assignment statement does not have to be a variable.,Student thinks an expression can appear on the left-hand side of assignment.,Kept.,"a + b <- 10
{ sisi kiri assignment bukan variabel }","c <- 10
{ sisi kiri assignment harus satu variabel }"
21,Qian 7,VA,VA-10,Computers know what value should be associated with a variable name.,The computer knows that a variable called largest must hold the largest value.,Kept.,"largest <- 0
for i <- 1 to 5 do
    input(x)
endfor
output(largest)
{ siswa lupa membandingkan x dengan largest, kira komputer otomatis tahu largest harus menyimpan nilai terbesar hanya dari namanya }","largest <- 0
for i <- 1 to 5 do
    input(x)
    if x > largest then
        largest <- x
    endif
endfor
output(largest)
{ variabel hanya berisi apa yang di-assign secara eksplisit; nama variabel tidak memberi makna otomatis pada komputer }"
22,Qian 9,VA,VA-11,"Student believes that variables such as ""age"" and ""Age"" refer to the same variable.",Student treats age and Age as the same identifier.,Kept.,"age <- 20
output(Age)
{ siswa kira age dan Age variabel yang sama }","age <- 20
output(age)
{ nama variabel case-sensitive: age != Age }"
23,Haberman HistPres3; Grover&Basu VarAsLetter,VA,VA-12,"Student treats a variable as an immutable mathematical unknown or initial label, rather than as a named storage location whose value can change through assignment.",Student resists assigning a new value to total because total was already initialized earlier.,Merged old IO-03 and VA-12.,"total <- 0
for i <- 1 to 5 do
    input(x)
endfor
output(total)
{ siswa tidak menulis ""total <- total + x"" karena mengira total tidak boleh di-assign ulang setelah diinisialisasi; akibatnya total tetap 0 }","total <- 0
for i <- 1 to 5 do
    input(x)
    total <- total + x
endfor
output(total)
{ total di-assign ulang pada tiap iterasi untuk mengakumulasi nilai x yang diinput }"
24,Chiodini NoReservedWords,VA,VA-13,Student is uncertain or unaware of which words are reserved by the language and cannot be used as variable identifiers.,"Student attempts to use a reserved keyword as a variable name, uncertain whether it is permitted, or mistakenly believes a built-in function name is safe to reuse as an identifier.",Kept.,"kamus
    integer : integer
algoritma
    integer <- 5
    { memakai kata kunci sebagai nama variabel }","kamus
    angka : integer
algoritma
    angka <- 5"
25,McMining 16; Qian 19,"CD, OP",OP-01,"Student confuses assignment and equality comparison, for example believing that the symbol = tests for equality in a condition.","if x = 5: print(""Equal"") instead of if x == 5.",Kept.,"program PalindromBerikutnya
kamus
  n, kandidat, sisa, hasilBalik : integer
  sudahKetemu : boolean
algoritma
  input(n)
  kandidat <- n + 1
  sudahKetemu <- false
  while not sudahKetemu do
    sisa <- kandidat
    hasilBalik <- 0
    while sisa > 0 do
      hasilBalik <- hasilBalik * 10 + (sisa mod 10)
      sisa <- sisa div 10
    endwhile
    if hasilBalik = kandidat then
      sudahKetemu <- true
    else
      kandidat <- kandidat + 1
    endif
  endwhile
  output(kandidat)
endprogram","program PalindromBerikutnya
kamus
  n, kandidat, sisa, hasilBalik : integer
  sudahKetemu : boolean
algoritma
  input(n)
  kandidat <- n + 1
  sudahKetemu <- false
  while not sudahKetemu do
    sisa <- kandidat
    hasilBalik <- 0
    while sisa > 0 do
      hasilBalik <- hasilBalik * 10 + (sisa mod 10)
      sisa <- sisa div 10
    endwhile
    if hasilBalik == kandidat then
      sudahKetemu <- true
    else
      kandidat <- kandidat + 1
    endif
  endwhile
  output(kandidat)
endprogram"
26,McMining 17,"OP, VA",OP-02,Student believes that colons (:) are used for variable assignment.,x : 5 instead of x = 5.,Kept.,"program CariTerkecil
kamus
  n, i, x, terkecil : integer
algoritma
  input(n)
  for i <- 1 to n do
    input(x)
    if i == 1 then
      terkecil : x
    else
      if x < terkecil then
        terkecil : x
      endif
    endif
  endfor
  output(terkecil)
endprogram","program CariTerkecil
kamus
  n, i, x, terkecil : integer
algoritma
  input(n)
  for i <- 1 to n do
    input(x)
    if i == 1 then
      terkecil <- x
    else
      if x < terkecil then
        terkecil <- x
      endif
    endif
  endfor
  output(terkecil)
endprogram"
27,McMining 46,"EX, OP",OP-03,Student believes that the and operator always evaluates both operands.,if value > 0 and increment_counter(): student expects increment_counter() to run even when value > 0 is false.,Kept.,"PROGRAM CekNilaiDanIncrement
 { Program memeriksa apakah sebuah nilai lebih besar dari 0, lalu memanggil fungsi penambah penghitung. }
 kamus
  value : integer
 algoritma
  input(value)
  if value > 0 and increment_counter() then
  output(""valid"")
  endif
  { siswa kira increment_counter() tetap dipanggil walau value > 0 sudah bernilai salah }
 endprogram","PROGRAM CekNilaiDanIncrement
 { Program memeriksa apakah sebuah nilai lebih besar dari 0, lalu memanggil fungsi penambah penghitung. }
 kamus
  value : integer
 algoritma
  input(value)
  if value > 0 and increment_counter() then
  output(""valid"")
  endif
  { jika value > 0 salah, and langsung berhenti (short-circuit) dan increment_counter() TIDAK dipanggil }
 endprogram"
28,McMining 47,"EX, OP",OP-04,Student believes that the or operator always evaluates both operands.,if value < 0 or increment_counter(): student expects increment_counter() to run even when value < 0 is true.,Kept.,"PROGRAM CekNilaiAtauIncrement
 { Program memeriksa apakah sebuah nilai kurang dari 0, atau memanggil fungsi penambah penghitung. }
 kamus
  value : integer
 algoritma
  input(value)
  if value < 0 or increment_counter() then
  output(""valid"")
  endif
  { siswa kira increment_counter() tetap dipanggil walau value < 0 sudah bernilai benar }
 endprogram","PROGRAM CekNilaiAtauIncrement
 { Program memeriksa apakah sebuah nilai kurang dari 0, atau memanggil fungsi penambah penghitung. }
 kamus
  value : integer
 algoritma
  input(value)
  if value < 0 or increment_counter() then
  output(""valid"")
  endif
  { jika value < 0 benar, or langsung berhenti (short-circuit) dan increment_counter() TIDAK dipanggil }
 endprogram"
29,McMining 63,"EX, OP",OP-05,Student believes that the arithmetic operation + has higher precedence than the arithmetic operation /.,average = 10 + 20 + 30 / 3; student expects (10 + 20 + 30) / 3.,Kept.,"program JumlahHarmonik
kamus
  n, i : integer
  jumlah : real
algoritma
  input(n)
  jumlah <- 0
  for i <- 1 to n do
    jumlah <- jumlah + (1 / i)
  endfor
  output(jumlah)
endprogram","program JumlahHarmonik
kamus
  n, i : integer
  jumlah : real
algoritma
  input(n)
  jumlah <- 0
  for i <- 1 to n do
    jumlah <- jumlah + 1 / i
  endfor
  output(jumlah)
endprogram"
30,McMining 64,"EX, OP",OP-06,Student believes that the arithmetic operation - has higher precedence than the arithmetic operation /.,result = 100 - 10 / 2; student expects (100 - 10) / 2.,Kept.,"PROGRAM HitungSelisihDibagiDua
 { Program menghitung hasil pengurangan dua bilangan yang kemudian dibagi dua. }
 kamus
  hasil : real
 algoritma
  hasil <- 100 - 10 / 2
  { siswa kira dievaluasi (100-10)/2 }
 endprogram","PROGRAM HitungSelisihDibagiDua
 { Program menghitung hasil pengurangan dua bilangan yang kemudian dibagi dua. }
 kamus
  hasil : real
 algoritma
  hasil <- (100 - 10) / 2
  { tanpa kurung, / dievaluasi lebih dulu: 100 - 5 }
 endprogram"
31,McMining 65,"EX, OP",OP-07,Student believes that the arithmetic operation + has higher precedence than the arithmetic operation *.,total = 2 + 5 * 3; student expects (2 + 5) * 3.,Kept.,"program HitungUmurAnjing
kamus
  umur : integer
  umurAnjing : real
algoritma
  input(umur)
  if umur <= 2 then
    umurAnjing <- umur * 10.5
  else
    umurAnjing <- 21 + ((umur - 2) * 4)
  endif
  output(umurAnjing)
endprogram","program HitungUmurAnjing
kamus
  umur : integer
  umurAnjing : real
algoritma
  input(umur)
  if umur <= 2 then
    umurAnjing <- umur * 10.5
  else
    umurAnjing <- 21 + (umur - 2) * 4
  endif
  output(umurAnjing)
endprogram"
32,Grover&Basu ORasXOR,OP,OP-08,"Student treats the boolean OR operator as if it behaves like exclusive-or, evaluating to true only when exactly one operand is true rather than when at least one operand is true.","For the condition '(starts with D) OR (ends with E)' applied to a word that satisfies both parts, student marks the expression as false because both conditions matched, not just one.",Kept.,"input(kata)
mulaiD <- (kata[0] == ""D"")
akhirE <- (kata[length(kata) - 1] == ""E"")
if mulaiD or akhirE then
    output(""cocok"")
endif
{ untuk kata yang memenuhi KEDUA syarat, siswa kira hasilnya salah karena mengira or hanya benar bila TEPAT satu sisi benar (seperti XOR) }","input(kata)
mulaiD <- (kata[0] == ""D"")
akhirE <- (kata[length(kata) - 1] == ""E"")
if mulaiD or akhirE then
    output(""cocok"")
endif
{ or bernilai benar bila SETIDAKNYA satu sisi benar, termasuk bila mulaiD dan akhirE keduanya benar }"
33,McMining 4; McMining 26,"CD, EX, OP",EX-01,Student believes that Boolean expressions must be explicitly compared to True/False or wrapped in if/else before they can be used or returned.,if (n > 0) == True or if n % 2 == 0: return True else return False.,Kept.,"program CariTerkecil
kamus
  n, i, x, terkecil : integer
algoritma
  input(n)
  for i <- 1 to n do
    input(x)
    if i == 1 then
      terkecil <- x
    else
      if (x < terkecil) == true then
        terkecil <- x
      endif
    endif
  endfor
  output(terkecil)
endprogram","program CariTerkecil
kamus
  n, i, x, terkecil : integer
algoritma
  input(n)
  for i <- 1 to n do
    input(x)
    if i == 1 then
      terkecil <- x
    else
      if x < terkecil then
        terkecil <- x
      endif
    endif
  endfor
  output(terkecil)
endprogram"
34,McMining 18,"EX, OP",EX-02,"Student believes that in the expression x == a or b, the comparison operator distributes to both operands of the or operator.","if grade == ""A"" or ""B"": print(""Good grade!"").",Kept.,"program CekTandaBerlawanan
kamus
  a, b : integer
  hasil : boolean
algoritma
  input(a, b)
  if (a < 0 or b) and not (a < 0 and b < 0) then
    hasil <- true
  else
    hasil <- false
  endif
  output(hasil)
endprogram","program CekTandaBerlawanan
kamus
  a, b : integer
  hasil : boolean
algoritma
  input(a, b)
  if (a < 0 and b > 0) or (a > 0 and b < 0) then
    hasil <- true
  else
    hasil <- false
  endif
  output(hasil)
endprogram"
35,McMining 66,LO,EX-03,Student believes that the first character of a string is at index 1.,"word = ""hello""; first_char = word[1]; student expects ""h"" but gets ""e"".",Kept.,,
36,Qian 8,"VA, OP, EX",EX-04,Student believes that different data types can be freely mixed in expressions.,"A = 5 + ""Hero"".",Kept.,"A <- 5 + ""Hero""
{ mencampur integer dan string dalam satu ekspresi }","A <- 5
nama <- ""Hero""
{ tipe berbeda tidak dicampur langsung dalam satu operasi aritmatika }"
37,Chiodini NoAtomicExpression,EX,EX-05,"Student believes expressions must consist of more than one piece, so a single literal or variable name alone is not considered a valid expression.","Student says a bare literal like 19 or a single variable name is 'not an expression', believing only compound expressions like 19*2 qualify.",Kept.,"nilai <- 19 + 0
{ siswa kira literal tunggal 19 bukan ekspresi yang valid, jadi ditambah +0 supaya ""jadi ekspresi"" }","nilai <- 19
{ literal tunggal atau nama variabel tunggal sudah merupakan ekspresi yang valid, tanpa perlu operasi tambahan }"
38,McMining 33,CD,CD-01,Student believes that multiple mutually exclusive conditions in a control-flow construct must each be written as separate if statements.,"Separate if statements for score >= 90, score >= 80, score >= 70, causing later assignments to overwrite earlier ones.",Kept.,"program HitungPasanganTidakSama
kamus
  a, b, c, jumlah : integer
algoritma
  input(a, b, c)
  jumlah <- 0
  if a > b then
    jumlah <- jumlah + 1
  endif
  if a < b then
    jumlah <- jumlah + 1
  endif
  if a == b then
    jumlah <- jumlah + 0
  endif
  if a > c then
    jumlah <- jumlah + 1
  endif
  if a < c then
    jumlah <- jumlah + 1
  endif
  if a == c then
    jumlah <- jumlah + 0
  endif
  if b > c then
    jumlah <- jumlah + 1
  endif
  if b < c then
    jumlah <- jumlah + 1
  endif
  if b == c then
    jumlah <- jumlah + 0
  endif
  output(jumlah)
endprogram","program HitungPasanganTidakSama
kamus
  a, b, c, jumlah : integer
algoritma
  input(a, b, c)
  jumlah <- 0
  if a != b then
    jumlah <- jumlah + 1
  endif
  if a != c then
    jumlah <- jumlah + 1
  endif
  if b != c then
    jumlah <- jumlah + 1
  endif
  output(jumlah)
endprogram"
39,McMining 41; Sychev RECsl,"CD, LO",CD-02,Student believes that an if/selection statement can repeat like a loop while its condition holds.,counter = 5; if counter > 0: counter = counter - 1; student expects counter to become 0 automatically.,Kept.,"program CekBilanganPrima
kamus
  n, i : integer
  prima : boolean
algoritma
  input(n)
  if n >= 1 then
    prima <- true
    i <- 2
    if i < n div 2 then
      if n mod i == 0 then
        prima <- false
      else
        i <- i + 1
      endif
    endif
  else
    prima <- false
  endif
  output(prima)
endprogram","program CekBilanganPrima
kamus
  n, i : integer
  prima : boolean
algoritma
  input(n)
  if n < 2 then
    prima <- false
  else
    prima <- true
    for i <- 2 to n - 1 do
      if n mod i == 0 then
        prima <- false
      endif
    endfor
  endif
  output(prima)
endprogram"
40,Sychev SEL1; Sychev SEL2; Bastian&Mühling EO,CD,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,"If x < 0 then output('negative'), student still expects the output when x is 5.","Merged old CD-06, CD-07, and CD-17.","input(x)
if x < 0 then
    output(""negatif"")
endif
{ siswa kira cabang tetap jalan walau x = 5 (kondisi salah) }","input(x)
if x < 0 then
    output(""negatif"")
endif
{ cabang hanya jalan bila kondisi bernilai benar }"
41,Sychev SEL3,CD,CD-04,Conditions of a multi-branch selection statement are checked in the wrong order.,-,Renumbered from old CD-08.,"input(n)
if n > 0 then
    output(""positif"")
else if n > 100 then
    output(""besar"")
endif
{ urutan cek salah: n=150 keburu tertangkap '>0', '>100' tak tercapai }","input(n)
if n > 100 then
    output(""besar"")
else if n > 0 then
    output(""positif"")
endif
{ kondisi lebih spesifik dicek lebih dulu }"
42,Sychev SEL4,CD,CD-05,Student does not consider the truth of a control condition as the cause for the execution of its branch.,"Q#8: correct cause is condition evaluates to true, but student answers that it executes because it stands after checking the condition.",Renumbered from old CD-09.,"input(n)
if n > 0 then
    output(""positif"")
endif
{ saat ditanya mengapa ""positif"" tercetak, siswa menjawab ""karena letaknya di bawah pengecekan"", bukan karena n > 0 bernilai benar }","input(n)
if n > 0 then
    output(""positif"")
endif
{ ""positif"" tercetak KARENA kondisi n > 0 bernilai benar; itulah penyebab langsung cabang dieksekusi }"
43,Sychev SEL5,CD,CD-06,Student believes a condition is checked after executing a branch.,"Q#31: student says the else branch should execute first, and only then the condition should be checked.",Renumbered from old CD-10.,"input(n)
if n > 0 then
    output(""positif"")
else
    output(""non-positif"")
endif
{ siswa kira cabang else dieksekusi dulu, baru kondisi n > 0 dicek setelahnya }","input(n)
if n > 0 then
    output(""positif"")
else
    output(""non-positif"")
endif
{ kondisi dicek DULU, baru cabang yang sesuai dieksekusi -- bukan sebaliknya }"
44,Sychev SEL6,CD,CD-07,Student believes two or more branches of one selection statement are executed.,-,Renumbered from old CD-11.,"input(n)
if n > 0 then
    output(""positif"")
else
    output(""negatif"")
endif
{ siswa kira KEDUA cabang if dan else dieksekusi sekaligus, bukan hanya salah satu }","input(n)
if n > 0 then
    output(""positif"")
else
    output(""negatif"")
endif
{ hanya SATU cabang dieksekusi, tidak keduanya }"
45,Sychev SEL8,CD,CD-08,Selection statement exits without executing a branch or checking all conditions.,-,Renumbered from old CD-13.,"input(n)
if n > 0 then
    output(""positif"")
else
    output(""nol atau negatif"")
endif
{ siswa kira program bisa keluar dari struktur if-else tanpa mengeksekusi cabang manapun, walau ada else }","input(n)
if n > 0 then
    output(""positif"")
else
    output(""nol atau negatif"")
endif
{ dengan else, selalu ada tepat satu cabang yang dieksekusi }"
46,Sychev SEL9,CD,CD-09,A branch condition is thought to be evaluated multiple times.,Q#30: student thinks the condition must appear before the previous condition instead of understanding it is checked only once.,Renumbered from old CD-14.,"input(n)
if n > 90 then
    output(""A"")
else if n > 90 then
    output(""A lagi"")
else if n > 80 then
    output(""B"")
endif
{ siswa kira kondisi n > 90 perlu dicek ulang di cabang berikutnya, padahal tiap kondisi hanya dicek sekali }","input(n)
if n > 90 then
    output(""A"")
else if n > 80 then
    output(""B"")
endif
{ setiap kondisi if-elif hanya dicek SEKALI secara berurutan, tidak diulang }"
47,Sychev SEL10,CD,CD-10,A different branch is executed after a selection-statement condition evaluates to true.,-,Renumbered from old CD-15.,"input(n)
if n > 0 then
    output(""negatif"")
else
    output(""positif"")
endif
{ siswa kira walau n > 0 bernilai benar, program bisa ""meloncat"" ke cabang else }","input(n)
if n > 0 then
    output(""positif"")
else
    output(""negatif"")
endif
{ ketika kondisi bernilai benar, cabang yang sesuai dengan kondisi itu yang dieksekusi, bukan cabang lain }"
48,Sychev NOT1sl,CD,CD-11,Student calls a selection statement a loop.,-,Renumbered from old CD-16.,"input(n)
if n > 0 then
    output(""positif"")
endif
{ siswa menyebut struktur if ini sebagai ""loop"" karena mengira ia berulang }","input(n)
if n > 0 then
    output(""positif"")
endif
{ ini adalah selection statement (percabangan) yang dieksekusi maksimal sekali, berbeda dari loop yang berulang }"
49,McMining 14,"LO, VA",LO-01,Student believes that loop variables are destroyed and are inaccessible after the loop completes.,"After for i in range(...), student avoids using i and stores the found index in another variable.",Kept.,"program TampilkanSemuaAngka
 { Program menampilkan angka 1 sampai 5 menggunakan sebuah loop. }
 kamus
  i, terakhir : integer
 algoritma
  for i <- 1 to 5 do
  output(i)
  endfor
  terakhir <- i
  output(terakhir)
  { siswa menyalin i ke variabel lain (terakhir) sebelum dipakai lagi, karena mengira i akan ""hilang"" begitu loop selesai }
 endprogram","program TampilkanSemuaAngka
 { Program menampilkan angka 1 sampai 5 menggunakan sebuah loop. }
 kamus
  i : integer
 algoritma
  for i <- 1 to 5 do
  output(i)
  endfor
  output(i)
  { i tetap ada dan bisa langsung dipakai setelah loop berakhir (bernilai 5, nilai terakhir loop); tidak perlu disalin ke variabel lain }
 endprogram"
50,McMining 20,"LO, VA",LO-02,Student believes that for-loop variables exist in a separate scope and will not affect variables with the same name in the enclosing scope.,i = 100; for i in range(5): ...; student expects i to still be 100 after the loop.,Kept.,"program JumlahRentang
kamus
  n, awal, akhir, i, x, total : integer
algoritma
  input(n, awal, akhir)
  i <- 0
  total <- 0
  for i <- 1 to n do
    input(x)
    if i >= awal and i <= akhir then
      total <- total + x
    endif
  endfor
  if i == 0 then
    output(0)
  else
    output(total)
  endif
endprogram","program JumlahRentang
kamus
  n, awal, akhir, i, x, total : integer
algoritma
  input(n, awal, akhir)
  total <- 0
  for i <- 1 to n do
    input(x)
    if i >= awal and i <= akhir then
      total <- total + x
    endif
  endfor
  output(total)
endprogram"
